#year	num_authors	mean_new_substs_per_auth	median
1771	1	5	
1785	1	4	
1787	1	2	
1789	2	4	4
1791	1	2	
1795	2	4	4
1797	2	1	1
1800	751	3.18908	2
1801	14	1.64286	1
1802	9	1.88889	1
1803	12	1.66667	2
1804	16	2	2
1805	13	1.92308	1
1806	15	2.53333	2
1807	10	2.3	2
1808	7	1.57143	1
1809	21	2.14286	1
1810	5	2.6	2
1811	17	2.41176	2
1812	27	2.44444	1
1813	22	2.59091	1
1814	17	2.76471	1
1815	20	1.5	1
1816	20	1.85	2
1817	22	1.63636	1
1818	41	2.95122	1
1819	24	1.83333	1
1820	19	1.89474	1
1821	18	2.27778	1
1822	28	1.89286	1
1823	15	1.73333	1
1824	52	2.67308	1
1825	32	2.5	1
1826	40	4.625	1
1827	49	2.97959	1
1828	46	2.95652	1
1829	38	2.63158	1
1830	53	2.62264	1
1831	38	3.02632	1
1832	43	2.62791	1
1833	38	2.18421	1
1834	63	2.63492	1
1835	55	2.21818	1
1836	69	2.37681	1
1837	68	2.01471	1
1838	52	2.48077	1
1839	65	2.53846	1
1840	73	1.57534	1
1841	71	2.47887	1
1842	104	3.06731	1
1843	85	3.10588	2
1844	80	2.575	1
1845	83	2.3012	1
1846	72	2.90278	2
1847	95	2.47368	1
1848	109	2.92661	1
1849	87	2.36782	1
1850	82	2.73171	1
1851	89	2.4382	1
1852	86	2.73256	2
1853	90	2.34444	1
1854	118	2.54237	2
1855	101	2.63366	1
1856	133	2.1203	1
1857	143	3.40559	2
1858	126	2.28571	2
1859	132	2.2803	1
1860	137	2.83212	1
1861	174	2.94828	1
1862	147	2.7483	1
1863	155	2.66452	1
1864	178	2.52809	1
1865	199	2.32663	1
1866	207	3.01932	1
1867	207	3.01449	2
1868	208	3.44231	2
1869	235	3.05957	2
1870	271	2.67897	2
1871	222	2.5045	2
1872	228	3.29825	2
1873	304	2.93421	1
1874	332	2.7741	1
1875	298	3.1745	2
1876	323	2.90712	1
1877	387	3.22739	2
1878	451	3.37916	2
1879	411	3.2944	2
1880	453	3.45695	2
1881	483	3.80538	2
1882	482	4.01867	2
1883	586	4.31229	2
1884	625	4.3232	2
1885	617	4.62723	2
1886	659	4.81032	2
1887	769	4.47594	2
1888	769	5.3485	3
1889	790	5.63291	3
1890	766	5.9517	3
1891	867	5.93195	3
1892	796	5.61809	2
1893	817	5.88127	3
1894	926	5.87473	3
1895	889	6.27109	3
1896	901	6.19645	3
1897	921	6.32139	3
1898	971	6.78579	3
1899	982	7.37373	3
1900	1026	6.88694	3
1901	1125	7.43467	4
1902	1208	7.51159	3
1903	1139	6.87621	3
1904	1284	8.0514	3
1905	1246	7.60995	4
1906	1319	7.69219	3
1907	1208	7.96192	4
1908	1194	7.6072	3
1909	1269	7.96139	3
1910	1178	7.41935	4
1911	1152	8.42448	4
1912	1229	8.5061	4
1913	1179	8.66751	4
1914	1080	8.31852	4
1915	830	8.14699	3
1916	654	8.4052	4
1917	509	8.85265	4
1918	519	8.30443	4
1919	593	8.00337	3
1920	931	6.4855	3
1921	1138	8.4833	4
1922	1339	8.72442	4
1923	1548	8.65504	4
1924	1692	8.76537	4
1925	1757	9.17758	4
1926	1932	9.00725	4
1927	1954	9.21904	4
1928	1968	9.60112	4
1929	2289	8.90695	4
1930	2494	9.17121	3
1931	2510	9.48367	3
1932	2572	9.03266	3
1933	2750	8.908	3
1934	2721	9.61227	3
1935	2756	9.37446	3
1936	2952	9.40888	3
1937	2858	10.0241	3
1938	2781	9.92053	3
1939	2865	10.2667	4
1940	2474	9.7312	4
1941	2374	10.112	4
1942	2063	10.9956	4
1943	1911	10.6949	4
1944	1843	10.5844	4
1945	1749	11.9445	4
1946	2126	13.4031	4
1947	2662	12.3505	4
1948	3107	12.8867	4
1949	3695	13.1491	5
1950	3748	13.0723	4
1951	4076	13.1256	4
1952	4513	13.4241	4
1953	4778	13.1455	4
1954	4821	14.2056	5
1955	5097	13.6757	5
1956	5642	14.1982	5
1957	6059	14.6524	5
1958	6447	14.5537	5
1959	7110	15.052	5
1960	8513	12.7258	5
1961	9006	13.3701	5
1962	9488	13.5209	5
1963	10275	14.0674	6
1964	10872	13.9262	5
1965	12461	13.738	5
