#year	total_docs	mean_new_substs_per_doc	median	mean_num_authors_per_doc	median
1771	1	5		1	
1785	1	4		1	
1787	1	2		1	
1789	1	4		2	
1791	1	2		1	
1795	1	4		2	
1797	2	1	1	1	1
1800	4255	3.0517	2	1.50403	1
1801	11	1.72727	1	1.36364	1
1802	12	1.33333	1	1.08333	1
1803	14	1.57143	1	1	1
1804	20	1.55	1	1.10526	1
1805	13	1.76923	1	1.15385	1
1806	25	1.52	1	1	1
1807	11	1.90909	1	1.09091	1
1808	9	1.22222	1	1	1
1809	23	1.30435	1	1.47826	1
1810	5	2.2	2	1.2	1
1811	20	1.7	1	1.2	1
1812	43	1.4186	1	1.06977	1
1813	36	1.5	1	1.08333	1
1814	33	1.36364	1	1.06061	1
1815	21	1.28571	1	1.09524	1
1816	24	1.375	1	1.08333	1
1817	24	1.33333	1	1.125	1
1818	73	1.53425	1	1.09589	1
1819	28	1.28571	1	1.17857	1
1820	29	1.17241	1	1.06897	1
1821	29	1.41379	1	1	1
1822	43	1.23256	1	1	1
1823	21	1.19048	1	1.04762	1
1824	77	1.62338	1	1.1039	1
1825	43	1.72093	1	1.11628	1
1826	126	1.46032	1	1.00794	1
1827	85	1.67059	1	1.03529	1
1828	91	1.42857	1	1.03297	1
1829	61	1.57377	1	1.04918	1
1830	97	1.37113	1	1.06186	1
1831	73	1.50685	1	1.05479	1
1832	71	1.40845	1	1.11268	1
1833	48	1.58333	1	1.08333	1
1834	92	1.6087	1	1.1413	1
1835	69	1.52174	1	1.10145	1
1836	93	1.67742	1	1.06522	1
1837	80	1.5	1	1.1125	1
1838	80	1.4625	1	1.10127	1
1839	87	1.71264	1	1.06897	1
1840	76	1.30263	1	1.21053	1
1841	95	1.73684	1	1.10526	1
1842	195	1.49231	1	1.08718	1
1843	129	1.82171	1	1.13953	1
1844	130	1.49231	1	1.07752	1
1845	117	1.50427	1	1.10256	1
1846	115	1.53043	1	1.1913	1
1847	129	1.5969	1	1.15504	1
1848	162	1.61728	1	1.21605	1
1849	116	1.61207	1	1.09483	1
1850	126	1.61111	1	1.05556	1
1851	123	1.66667	1	1.07317	1
1852	127	1.74016	1	1.06299	1
1853	114	1.64035	1	1.19298	1
1854	153	1.73203	1	1.13158	1
1855	147	1.68027	1	1.10884	1
1856	153	1.47712	1	1.20261	1
1857	190	1.7	1	1.37895	1
1858	155	1.57419	1	1.2013	1
1859	176	1.50568	1	1.16477	1
1860	199	1.69347	1	1.12121	1
1861	272	1.68382	1	1.13971	1
1862	200	1.85	1	1.12563	1
1863	233	1.52361	1	1.18534	1
1864	250	1.596	1	1.152	1
1865	252	1.49603	1	1.23413	1
1866	277	1.88087	1	1.20217	1
1867	330	1.62424	1	1.14545	1
1868	298	1.86242	1	1.25839	1
1869	334	1.8024	1	1.16766	1
1870	336	1.75893	1	1.23512	1
1871	264	1.70833	1	1.23574	1
1872	281	2.23843	1	1.24199	1
1873	387	1.8863	1	1.24806	1
1874	405	1.98765	1	1.19506	1
1875	399	2.01253	1	1.2005	1
1876	439	1.80182	1	1.20729	1
1877	498	2.1004	1	1.23887	1
1878	569	2.0949	1	1.29877	1
1879	518	2.03282	1	1.27907	1
1880	554	2.10289	1	1.3213	1
1881	622	2.25402	1	1.34304	1
1882	632	2.44462	1	1.27186	1
1883	789	2.49176	2	1.31726	1
1884	789	2.58048	2	1.34435	1
1885	822	2.65937	2	1.30414	1
1886	888	2.82095	2	1.28716	1
1887	1003	2.58524	2	1.35815	1
1888	1067	2.85848	2	1.35714	1
1889	1108	2.91516	2	1.37251	1
1890	1070	3.01215	2	1.3797	1
1891	1235	2.98947	2	1.38231	1
1892	1111	2.90729	2	1.39856	1
1893	1236	2.7144	2	1.38362	1
1894	1340	2.80448	1	1.42665	1
1895	1297	3.05089	2	1.40511	1
1896	1242	3.13527	2	1.42673	1
1897	1313	3.12567	2	1.41482	1
1898	1398	3.10515	2	1.47274	1
1899	1414	3.42645	2	1.50678	1
1900	1423	3.30991	2	1.4802	1
1901	1521	3.5641	2	1.5169	1
1902	1643	3.59647	2	1.53804	1
1903	1648	3.08981	2	1.51629	1
1904	1793	3.59677	2	1.56716	2
1905	1711	3.55523	2	1.54078	2
1906	1830	3.41093	2	1.60522	2
1907	1748	3.47254	2	1.56079	2
1908	1599	3.61789	2	1.53093	1
1909	1679	3.82192	2	1.56697	2
1910	1472	3.76495	2	1.56101	2
1911	1488	4.04637	2	1.59075	2
1912	1622	4.12947	2	1.54935	2
1913	1445	4.23806	2	1.5884	2
1914	1354	3.95495	2	1.60164	2
1915	936	4.48397	2	1.59547	2
1916	778	4.40874	2	1.59895	2
1917	579	4.76684	2	1.66725	2
1918	556	4.60072	2	1.60799	2
1919	634	4.69558	2	1.5311	1
1920	977	3.69294	2	1.63868	2
1921	1343	4.23529	2	1.67752	2
1922	1542	4.36965	2	1.72621	2
1923	1853	4.20669	2	1.72548	2
1924	2039	4.09711	2	1.78213	2
1925	2167	4.20166	2	1.75459	2
1926	2422	4.22007	2	1.75417	2
1927	2562	4.17681	2	1.75883	2
1928	2804	4.07347	2	1.79008	2
1929	3252	3.89084	2	1.78384	2
1930	3219	4.36129	2	1.80672	2
1931	3137	4.5569	2	1.79429	2
1932	3167	4.37607	2	1.81105	2
1933	3336	4.40228	2	1.83966	2
1934	3446	4.55223	2	1.81716	2
1935	3413	4.48755	2	1.81244	2
1936	3636	4.67987	2	1.82796	2
1937	3615	4.79862	2	1.84488	2
1938	3538	4.68457	2	1.82504	2
1939	3488	4.88589	2	1.86091	2
1940	2992	4.94184	2	1.84156	2
1941	2939	4.86118	2	1.87021	2
1942	2607	5.14883	2	1.88694	2
1943	2285	5.17418	2	1.87235	2
1944	2332	5.15395	2	1.8535	2
1945	2141	5.68986	2	1.92276	2
1946	2817	5.84523	2	1.92175	2
1947	3221	5.75101	2	1.90654	2
1948	3916	5.86874	3	1.91423	2
1949	4561	6.10414	3	1.91358	2
1950	5081	5.75182	3	1.83741	2
1951	5614	5.75098	3	1.83733	2
1952	6258	5.75376	3	1.84642	2
1953	6548	5.78543	3	1.86142	2
1954	6596	6.33369	3	1.86607	2
1955	7011	6.0465	3	1.86377	2
1956	7854	6.30863	3	1.87358	2
1957	8720	6.1836	3	1.86442	2
1958	9031	6.51379	3	1.89597	2
1959	10669	6.40454	3	1.91604	2
1960	11002	6.5529	3	1.9007	2
1961	11645	6.80283	4	1.92086	2
1962	12520	6.86845	4	1.9236	2
1963	12801	7.0971	4	1.9922	2
1964	13557	7.17622	4	1.98541	2
1965	15640	6.79162	4	2.02481	2
1966	16445	6.77537	4	2.01431	2
1967	15612	6.74475	4	2.03907	2
1968	16378	7.11601	4	2.04191	2
1969	16194	6.95325	4	2.04879	2
1970	18939	7.63673	4	2.05044	2
1971	18196	7.85271	4	2.04205	2
1972	18125	7.84463	4	2.0602	2
1973	17041	8.05428	4	2.09932	2
1974	17522	8.15546	5	2.10039	2
1975	17581	8.42182	5	2.09428	2
1976	20717	9.79191	5	2.12425	2
1977	20691	9.44063	5	2.17461	2
1978	19540	9.40092	5	2.17001	2
1979	17744	9.0909	5	2.2002	2
1980	19459	10.0922	6	3.14424	3
1981	20911	10.1787	6	3.19679	3
1982	20236	10.0357	6	3.24049	3
1983	20849	9.99137	6	3.3036	3
1984	21331	10.1058	6	3.36359	3
1985	22072	10.3545	6	3.38902	3
1986	21749	10.1399	6	3.43787	3
1987	22720	10.397	6	3.51037	3
1988	24037	10.4211	6	3.56729	3
1989	23845	10.696	6	3.61978	3
1990	24449	10.8019	6	3.68651	3
1991	24797	10.7019	6	3.7011	3
1992	24065	11.5446	6	3.79085	3
1993	24455	11.5053	6	3.80962	3
1994	23709	11.4136	7	3.83115	4
1995	25421	11.4801	6	3.91803	4
1996	27436	11.7436	6	4.0573	4
1997	27849	12.0084	6	4.10755	4
1998	28387	12.3184	7	4.15103	4
1999	28837	12.1553	6	4.20474	4
2000	28579	12.6146	7	4.23587	4
2001	29927	13.5072	7	4.36252	4
2002	33479	15.9688	7	4.4352	4
2003	34835	17.5255	7	4.53945	4
2004	36503	20.4004	7	4.62799	4
2005	37515	19.5146	7	4.68585	4
2006	36827	19.5076	7	4.75134	4
2007	36179	19.3749	7	4.85514	4
2008	36441	20.3434	8	4.96551	4
2009	37594	19.7751	8	5.02183	4
2010	43436	18.3724	7	5.13943	5
2011	44073	18.0848	7	5.18032	5
2012	43175	18.5524	8	5.32468	5
2013	46930	17.085	7	5.39603	5
2014	48917	17.0966	7	5.48903	5
2015	50244	18.2749	7	5.59539	5
2016	56904	17.21	6	5.7338	5
2017	57213	16.7792	6	5.86661	5
2018	54720	17.8942	7	5.9895	5
2019	56375	17.9834	7	6.10319	6
2020	55051	18.8592	7	6.23163	6
2021	52784	20.6678	7	6.39557	6
2022	4118	13.77	5	6.29068	6
4000	4912	2.4945	1	1.4746	1
