1800	203
1834	1
1841	1
1842	1
1845	1
1848	1
1853	2
1854	1
1855	2
1857	3
1858	3
1859	3
1860	2
1861	7
1862	6
1863	2
1865	2
1866	2
1868	16
1869	3
1870	6
1871	2
1872	8
1873	13
1874	10
1875	13
1876	24
1877	39
1878	39
1879	30
1880	32
1881	56
1882	51
1883	78
1884	85
1885	92
1886	59
1887	96
1888	110
1889	146
1890	109
1891	181
1892	156
1893	116
1894	159
1895	152
1896	100
1897	133
1898	157
1899	199
1900	157
1901	175
1902	251
1903	145
1904	262
1905	198
1906	293
1907	191
1908	237
1909	282
1910	227
1911	219
1912	282
1913	275
1914	211
1915	187
1916	118
1917	92
1918	94
1919	89
1920	124
1921	244
1922	279
1923	349
1924	313
1925	357
1926	468
1927	404
1928	499
1929	476
1930	614
1931	682
1932	599
1933	615
1934	656
1935	618
1936	672
1937	783
1938	806
1939	851
1940	688
1941	686
1942	546
1943	560
1944	537
1945	618
1946	580
1947	659
1948	1056
1949	1124
1950	948
1951	1232
1952	1243
1953	1317
1954	1262
1955	1294
1956	1451
1957	1480
1958	1562
1959	1632
1960	671
1961	586
1962	630
1963	714
1964	729
1965	828
1966	839
1967	916
1968	858
1969	808
1970	993
1971	938
1972	995
1973	883
1974	822
1975	947
1976	1291
1977	1153
1978	1030
1979	940
1980	4860
1981	5306
1982	4816
1983	4593
1984	4520
1985	4794
1986	4757
1987	5039
1988	4912
1989	4574
1990	4837
1991	4503
1992	5059
1993	4369
1994	5009
1995	4799
1996	4737
1997	4904
1998	5344
1999	4937
2000	5113
2001	5113
2002	5998
2003	6448
2004	6947
2005	7019
2006	6802
2007	6585
2008	6845
2009	6719
2010	7533
2011	7656
2012	7065
2013	7159
2014	7334
2015	7362
2016	8123
2017	7714
2018	7522
2019	7033
2020	6922
2021	6621
2022	516
