Substance ID = 	385737
1800	203
1834	1
1841	1
1842	1
1845	1
1848	1
1853	2
1854	1
1855	2
1857	3
1858	3
1859	3
1860	2
1861	7
1862	6
1863	2
1865	2
1866	2
1868	16
1869	3
1870	6
1871	2
1872	8
1873	13
1874	10
1875	13
1876	24
1877	39
1878	39
1879	30
1880	32
1881	56
1882	51
1883	78
1884	85
1885	92
1886	59
1887	96
1888	110
1889	146
1890	109
1891	181
1892	156
1893	116
1894	159
1895	152
1896	100
1897	133
1898	157
1899	199
1900	157
1901	175
1902	251
1903	145
1904	262
1905	198
1906	293
1907	191
1908	237
1909	282
1910	227
1911	219
1912	282
1913	275
1914	211
1915	187
1916	118
1917	92
1918	94
1919	89
1920	124
1921	244
1922	279
1923	349
1924	313
1925	357
1926	468
1927	404
1928	499
1929	476
1930	614
1931	682
1932	599
1933	615
1934	656
1935	618
1936	672
1937	783
1938	806
1939	851
1940	688
1941	686
1942	546
1943	560
1944	537
1945	618
1946	580
1947	659
1948	1056
1949	1124
1950	948
1951	1232
1952	1243
1953	1317
1954	1262
1955	1294
1956	1451
1957	1480
1958	1562
1959	1632
1960	671
1961	586
1962	630
1963	714
1964	729
1965	828
1966	839
1967	916
1968	858
1969	808
1970	993
1971	938
1972	995
1973	883
1974	822
1975	947
1976	1291
1977	1153
1978	1030
1979	940
1980	4860
1981	5306
1982	4816
1983	4593
1984	4520
1985	4794
1986	4757
1987	5039
1988	4912
1989	4574
1990	4837
1991	4503
1992	5059
1993	4369
1994	5009
1995	4799
1996	4737
1997	4904
1998	5344
1999	4937
2000	5113
2001	5113
2002	5998
2003	6448
2004	6947
2005	7019
2006	6802
2007	6585
2008	6845
2009	6719
2010	7533
2011	7656
2012	7065
2013	7159
2014	7334
2015	7362
2016	8123
2017	7714
2018	7522
2019	7033
2020	6922
2021	6621
2022	516
Substance ID = 	1098229
1800	211
1835	10
1836	4
1837	4
1838	3
1839	1
1840	2
1843	1
1845	6
1846	4
1847	5
1848	1
1849	1
1850	1
1851	3
1852	1
1853	3
1854	4
1856	1
1857	8
1858	3
1859	5
1860	1
1861	4
1862	2
1863	3
1864	6
1865	2
1866	6
1867	8
1868	1
1869	4
1870	5
1871	5
1872	12
1873	10
1874	7
1875	23
1876	12
1877	13
1878	25
1879	34
1880	34
1881	43
1882	29
1883	44
1884	48
1885	73
1886	54
1887	63
1888	75
1889	67
1890	46
1891	90
1892	59
1893	92
1894	112
1895	110
1896	108
1897	153
1898	126
1899	134
1900	125
1901	121
1902	198
1903	138
1904	170
1905	141
1906	185
1907	195
1908	180
1909	230
1910	198
1911	201
1912	264
1913	275
1914	158
1915	91
1916	133
1917	114
1918	145
1919	121
1920	136
1921	148
1922	283
1923	193
1924	295
1925	316
1926	336
1927	374
1928	458
1929	427
1930	543
1931	520
1932	568
1933	533
1934	634
1935	685
1936	664
1937	836
1938	742
1939	763
1940	676
1941	724
1942	677
1943	505
1944	605
1945	496
1946	688
1947	845
1948	1107
1949	1246
1950	1151
1951	1347
1952	1668
1953	1635
1954	1915
1955	2003
1956	2225
1957	2581
1958	2459
1959	2842
1960	1242
1961	1748
1962	1642
1963	1866
1964	1968
1965	2143
