
 * Everything loaded in: 0.222 s
Finding unique Rs...

 Shape1	 Shape2
	41	6
	74	8
	99	12
	12	4
	302	30
	519	47
	413	49
	956	122
	44	4
	93	8
	12	2
	12	1
	199	14
	882	71
	229	3
	220	1
	198	18
	596	37
	97	12
	164	4
	473	29
	58	3
	13	1
	44	1
	107	11
	13	1
	107	4
	204	13
	43	6
	140	10
	138	4
	253	23
	62	7
	25	3
	31	1
	102	9
	762	50
	201	18
	372	19
	216	6
	268	28
	125	5
	447	30
	93	11
	159	1
	20	1
	91	1
	26	1
	71	1
	11	1
	730	49
	86	8
	127	2
	47	1
	79	3
	26	1
	86	5
	147	2
	135	13
	150	1
	347	6
	37	1
	49	1
	984	57
	131	1
	82	6
	23	1
	248	6
	80	4
	172	3
	110	4
	94	4
	24	1
	36	2
	147	3
	172	19
	144	1
	420	20
	57	1
	788	41
	129	4
	263	6
	63	3
	60	2
	190	2
	231	1
	379	5
	404	3
	41	3
	434	1
	8	1
	31	1
	666	20
	68	2
	272	8
	264	9
	37	3
	77	2
	42	1
	181	4
	107	2
	292	7
	80	1
	265	20
	651	7
	879	13
	133	2
	55	1
	299	10
	272	11
	62	1
	107	5
	150	5
	197	7
	926	19
	69	1
	114	1
	631	12
	109	3
	176	9
	390	3
	171	1
	90	2
	105	4
	980	1
	144	2
	173	1
	180	1
	19	1
	960	1
	897	17
	180	2
	173	2
	807	8
	232	2
	840	1
	215	2
	419	4
	977	8
	406	20
	48	1
	92	1
	289	9
	547	7
	461	1
	901	3
	324	2
	552	9
	53	1
	425	16
	279	16
	119	3
	783	28
	35	1
	94	1
	209	11
	803	7
	116	1
	19	2
	635	1
	25	1
	517	1
	43	1
	93	1
	331	15
	100	2
	77	2
	334	9
	615	4
	895	1
	89	3
	305	16
	125	1
	21	1
	186	7
	151	1
	980	7
	82	4
	827	2
	105	4
	125	4
	459	31
	23	1
	518	3
	133	3
	116	3
	255	5
	250	3
	149	2
	240	1
	822	43
	929	28
	78	1
	155	5
	138	2
	347	17
	679	14
	124	1
	595	23
	58	1
	947	9
	118	3
	261	18
	66	3
	583	5
	947	21
	115	3
	137	4
	21	1
	37	1
	511	3
	27	1
	107	1
	6	1
	605	5
	183	17
	454	35
	334	43
	402	24
	404	11
	42	1
	930	8
	112	1
	152	2
	6	1
	69	1
	323	7
	357	11
	112	2
	481	26
	52	6
	906	51
	928	72
	48	7
	966	112
	22	1
	34	1
	362	29
	271	17
	383	14
	523	21
	74	2
	60	1
	476	9
	346	8
	240	1
	138	1
	721	25
	80	3
	941	31
	73	1
	61	1
	176	2
	64	1
	270	3
	471	6
	432	2
	242	12
	111	3
	906	53
	871	52
	238	1
	468	7
	667	24
	21	1
	40	1
	55	5
	936	24
	975	87
	55	2
	21	1
	459	50
	343	35
	466	32
	651	60
	88	5
	574	22
	179	5
	384	16
	877	86
	955	50
	188	1
	123	2
	160	3
	114	1
	217	12
	124	3
	107	2
	71	2
	447	6
	151	1
	224	3
	804	15
	261	3
	718	44
	137	2
	781	21
	177	4
	253	4
	6	1
	76	7
	13	1
	63	3
	720	6
	23	2
	23	1
	273	1
	332	1
	21	1
	735	5
	158	2
	175	4
	288	3
	388	8
	332	2
	83	1
	165	1
	564	9
	721	18
	58	1
	157	3
	181	6
	197	9
	318	15
	436	22
	61	4
	356	8
	59	1
	220	7
	678	49
	47	3
	812	55
	53	1
	167	6
	246	52
	230	40
	386	71
	419	34
	3	1
	98	1
	32	2
	2	1
	69	4
	108	2
	379	13
	33	2
	17	2
	123	7
	260	60
	229	23
	371	64
	41	1
	927	11
	107	3
	61	1
	548	118
	571	76
	788	150
	56	1
	72	2
	239	16
	19	1
	22	1
	44	1
	133	4
	349	54
	1894	30
	504	90
	318	30
	25	1
	191	16
	1106	11
	78	3
	287	23
	311	18
	434	28
	9	1
	137	3
	138	1
	67	1
	152	3
	58	2
	140	1
	1668	11
	264	1
	182	2
	224	40
	335	4
	285	43
	198	20
	85	6
	124	1
	780	9
	249	44
	166	10
	285	34
	352	1
	162	8
	947	57
	645	33
	215	25
	513	6
	346	46
	264	23
	186	3
	882	14
	258	34
	330	41
	211	9
	846	45
	176	5
	531	1
	62	1
	119	1
	322	5
	313	5
	839	9
	208	2
	955	40
	438	1
	963	2
	190	1
	793	1
	363	3
	294	1
	419	11
	525	3
	129	2
	654	1
	657	2
	94	3
	113	1
	125	1
	303	12
	173	1
	66	1
	517	6
	107	3
	981	7
	834	7
	305	2
	465	1
	736	4
	360	4
	162	2
	162	5
	363	19
	928	4
	421	34
	401	8
	533	3
	799	58
	208	7
	205	4
	301	18
	310	17
	81	1
	134	1
	371	7
	841	26
	48	2
	41	2
	69	1
	66	1
	867	5
	651	3
	879	2
	160	3
	87	2
	411	27
	485	33
	723	21
	88	3
	208	16
	248	22
	107	2
	54	2
	121	1
	281	16
	870	36
	33	1
	29	1
	45	1
	79	1
	731	9
	195	1
	114	3
	464	16
	122	7
	519	28
	267	18
	100	1
	247	15
	31	1
	279	3
	825	24
	49	2
	558	8
	742	21
	972	19
	708	6
	237	5
	70	2
	142	3
	178	3
	339	15
	17	1
	103	1
	44	2
	49	1
	715	4
	50	1
	64	1
	160	2
	11	1
	320	4
	618	4
	163	3
	796	3
	652	8
	631	7
	397	4
	541	12
	227	4
	4	1
	16	1
	44	1
	36	1
	65	2
	201	5
	176	4
	979	46
	34	1
	547	7
	11	1
	10	1
	134	2
	33	1
	21	1
	157	2
	154	1
	377	2
	943	25
	33	1
	85	1
	460	1
	96	1
	704	3
	882	15
	155	6
	189	1
	700	3
	274	10
	84	1
	963	1
	163	4
	204	6
	484	1
	142	1
	186	1
	420	14
	304	2
	35	1
	551	1

 * Found a total of 6114 non-unique Rs in 1.241 s
Starting finding matchings.

	0/1547	 R(n)s evaluated...
	0/1529	 R(n)s evaluated...
	0/1548	 R(n)s evaluated...
	0/1490	 R(n)s evaluated...
	1000/1529	 R(n)s evaluated...
	1000/1490	 R(n)s evaluated...
	1000/1548	 R(n)s evaluated...
	1000/1547	 R(n)s evaluated...
Done!
Time: 4.969 s	 NProc: 4	 NMax: 9362 
	Mean number of compounds per R: 2.626431141642133. Total R(n)s found: 6114
	Max number of compounds per R (first 3 max) : [32, 39, 58]

Total runtime: 5.192 s
