C:3-H:5-I:1-X:1	O:Hg	7362:6253	1849:1999
C:3-H:5-I:1-X:2	O:H	7959:7714	1753:1981
C:14-H:10-N:2-O:1-X:4	H:O	11228:9233	1816:1857
H:4-K:2-Mg:1-O:10-X:2	Cr:Mo:W	4158:10411:10399	1946:1965:1820
C:6-H:1-Br:1-O:1-X:4	Br:H	10074:3755	1938:1711
C:9-H:12-O:3-X:1	C:S	4038:3095	1780:1897
C:5-H:7-Cl:1-O:1-X:2	O:C:H	4727:11333:9327	1816:1793:1984
C:9-H:12-O:3-X:2	C:N	10837:10672	1718:1910
C:5-H:7-Cl:1-O:1-X:3	O:C	10045:6813	1708:1905
C:5-H:7-Cl:1-O:1-X:4	H:O:C	2678:8826:4907	1799:1828:1707
C:9-H:12-O:3-X:4	N:H	9256:11331	1837:1894
C:10-H:4-N:2-O:8-X:2	C:N	3112:9620	1937:1993
Ca:2-O:5-X:2	As:Al	1066:10339	1852:1949
C:5-H:7-Cl:1-X:3	O:C	4727:4030	1816:1792
Br:2-H:12-N:4-X:1	Cd:Pd:Pt	3254:5590:3790	1840:1734:1712
C:5-H:7-Cl:1-X:4	O:H	10045:3837	1708:1975
C:6-H:9-B:1-X:6	O:H	8032:8378	1812:1745
C:5-H:7-Cl:1-X:5	O:C	8826:3899	1828:1911
C:9-H:11-X:1	Br:N:H	10105:6994:2981	1828:1797:1975
H:10-O:9-Zn:1-X:1	Se:S	1355:1712	1820:1926
C:3-H:10-Sn:1-X:1	C:O	5540:7699	1756:1888
H:4-O:3-P:1-X:1	Na:N	1449:4741	1888:1822
B:2-H:2-O:5-X:1	Ca:Pb	5495:4841	1741:1970
C:2-H:6-Mg:1-O:4-X:2	C:O	5100:7325	1868:1954
C:9-H:9-O:2-X:1	Cl:I:Br:H	6721:9615:10596:1512	1973:1899:1923:1964
C:9-H:9-O:2-X:3	H:Cl	6720:3378	1734:1719
Cr:1-H:24-O:20-S:2-X:1	Na:K	3021:1437	1922:1903
H:15-Mg:1-O:11-X:1	As:P	2531:2780	1959:1913
C:4-H:1-O:4-X:5	H:Cl	2150:2924	1724:1803
As:2-H:4-O:10-X:3	Ni:Ca	204:5036	1821:1967
C:16-H:12-N:4-O:3-X:2	Cl:Br	4049:9665	1975:1801
C:4-H:11-P:1-S:1-X:3	O:S	7354:7251	1813:1733
Fe:2-O:10-S:3-X:2	K:O	3759:161	1743:1840
C:12-H:19-N:1-X:6	H:C	10034:7009	1838:1780
C:6-H:2-Fe:1-N:6-X:1	Fe:H	7437:839	1856:1810
C:12-H:8-N:1-O:4-X:1	N:H	8413:6420	1811:1754
C:2-Br:5-X:1	Br:H	8360:8393	1809:1760
C:5-H:4-N:2-O:2-X:2	C:N	7704:2707	1807:1760
Al:2-O:6-X:6	Na:H	8253:10896	1972:1828
C:2-H:5-N:2-O:2-X:1	N:H	13:6402	1940:1814
C:3-H:9-Br:1-X:1	Pb:Si:C	8498:5896:6202	1763:1880:1990
Ba:1-O:4-S:2-X:2	O:H	1188:1790	1934:1739
F:7-K:2-X:1	Ta:As	9799:10354	1962:1979
C:14-H:25-O:1-X:1	H:N	4417:5321	1755:1994
Cl:5-H:8-N:2-X:1	Sb:Bi	3953:5810	1783:1954
C:4-H:4-Cl:2-X:2	C:O	2768:5753	1960:1988
Cl:2-H:12-N:4-O:4-Pt:1-X:1	S:Cr	9884:9964	1900:1992
C:4-H:5-O:1-X:1	I:N:H	9566:6797:7097	1847:1763:1934
C:4-H:5-O:1-X:3	Cl:H	9205:3886	1786:1886
C:4-H:1-N:4-X:1	Au:Cr	3278:9057	1873:1797
C:9-H:9-N:1-O:6-X:1	C:S	6433:7306	1902:1959
C:2-O:6-X:1	Th:Zr:U	1580:893:3419	1713:1707:1864
H:12-N:3-O:3-X:1	P:B:As	1291:4099:1307	1934:1728:1861
C:6-H:3-Cl:3-X:2	N:O	10766:4869	1797:1898
C:2-H:3-Cl:1-N:1-O:1-X:1	H:Cl	6820:8010	1775:1881
Cr:2-O:9-X:2	S:Bi	3018:6322	1979:1880
C:10-H:6-Cl:3-O:4-X:1	H:Cl	11157:11174	1807:1949
Cr:2-O:9-X:3	Cr:Se:Pb:C	631:4794:5417:8987	1886:1782:1882:1924
C:12-H:12-O:1-X:1	C:O	1862:11337	1760:1796
C:12-H:12-O:1-X:3	O:C	8543:3691	1760:1812
Cl:4-Hg:1-X:2	Tl:Na	10359:1556	1794:1866
O:12-S:3-X:2	Tl:Mn:Al:V:Sb:Bi:Ir:In:Cr:Fe	8590:3482:309:10937:814:2463:1472:10261:2047:161	1950:1723:1783:1831:1742:1823:1928:1739:1729:1840
C:13-H:14-O:4-X:2	O:C:H	11239:4882:11258	1886:1776:1927
H:6-N:3-P:1-X:1	O:S	6801:10812	1980:1787
C:7-H:7-O:4-S:1-X:1	N:H	6999:3655	1859:1983
C:4-H:8-O:4-S:1-X:1	O:S	6392:8546	1810:1890
C:5-H:5-Br:1-O:3-X:2	Br:C	10266:3856	1903:1995
As:1-K:1-O:4-X:2	H:K	809:790	1942:1923
Mo:1-O:3-X:1	O:Mo	6448:1086	1942:1840
C:2-H:6-Br:2-X:1	C:S	6686:9591	1730:1918
C:8-H:9-O:1-X:1	Cl:H:N	3377:4915:5754	1775:1985:1747
C:2-H:4-O:5-X:1	S:Cu:C	3847:9149:5355	1791:1751:1849
Na:2-Te:1-X:3	S:O	1215:1136	1816:1996
Na:2-Te:1-X:4	O:S	2072:6621	1938:1736
C:3-H:1-O:3-X:3	Br:H	10566:2290	1727:1701
C:12-H:8-N:3-X:3	N:H	10588:8157	1868:1938
O:6-S:2-Th:1-X:2	O:S	1577:8722	1958:1949
C:6-H:4-O:8-S:2-X:2	H:O:Cl	7292:7641:7642	1920:1794:1949
C:6-H:4-N:4-O:4-X:1	C:O	8845:10786	1927:1839
C:2-H:5-Cl:1-X:1	O:Hg:C	7087:2289:7105	1910:1807:1816
K:1-O:3-X:1	P:Sb:I:Br:Cl:N:As	1975:3519:428:1080:512:152:9011	1724:1749:1967:1790:1819:1966:1886
C:6-H:5-N:1-O:2-X:2	H:O:C	7720:5144:2049	1969:1831:1942
O:1-Te:1-X:1	O:H	311:2098	1920:1932
C:2-H:5-Cl:1-X:4	C:O	2844:3073	1852:1915
C:3-H:6-N:1-O:2-X:1	Ag:H:N	5029:1746:5913	1878:1895:1707
Cu:1-H:16-O:20-U:2-X:2	P:As	4482:4560	1887:1771
Cl:6-Os:1-X:2	K:Na	1410:8653	1823:1964
