
 * Everything loaded in: 0.232 s
Finding unique Rs...

 Shape1	 Shape2
	74	8
	41	6
	12	4
	99	12
	956	122
	302	30
	519	47
	413	49
	44	4
	93	8
	12	2
	12	1
	882	71
	199	14
	220	1
	229	3
	198	18
	596	37
	164	4
	58	3
	473	29
	13	1
	97	12
	44	1
	107	11
	204	13
	13	1
	107	4
	43	6
	140	10
	253	23
	138	4
	62	7
	25	3
	762	50
	31	1
	102	9
	201	18
	216	6
	372	19
	268	28
	447	30
	93	11
	125	5
	159	1
	91	1
	20	1
	26	1
	71	1
	11	1
	86	8
	127	2
	730	49
	47	1
	79	3
	26	1
	86	5
	147	2
	135	13
	150	1
	347	6
	37	1
	49	1
	131	1
	82	6
	248	6
	23	1
	80	4
	172	3
	24	1
	94	4
	110	4
	984	57
	36	2
	147	3
	172	19
	788	41
	144	1
	420	20
	57	1
	129	4
	63	3
	263	6
	60	2
	231	1
	190	2
	379	5
	404	3
	8	1
	41	3
	31	1
	666	20
	272	8
	434	1
	264	9
	68	2
	37	3
	77	2
	42	1
	181	4
	107	2
	292	7
	80	1
	265	20
	651	7
	133	2
	879	13
	272	11
	299	10
	55	1
	107	5
	150	5
	197	7
	926	19
	62	1
	69	1
	631	12
	114	1
	109	3
	176	9
	390	3
	171	1
	90	2
	105	4
	980	1
	144	2
	173	1
	180	1
	19	1
	960	1
	180	2
	173	2
	807	8
	897	17
	232	2
	840	1
	215	2
	419	4
	48	1
	92	1
	977	8
	406	20
	289	9
	547	7
	461	1
	324	2
	901	3
	552	9
	425	16
	53	1
	279	16
	119	3
	783	28
	94	1
	35	1
	209	11
	116	1
	803	7
	19	2
	635	1
	25	1
	517	1
	43	1
	331	15
	93	1
	100	2
	77	2
	615	4
	334	9
	895	1
	305	16
	89	3
	125	1
	21	1
	186	7
	151	1
	980	7
	82	4
	827	2
	105	4
	23	1
	125	4
	459	31
	518	3
	133	3
	116	3
	255	5
	250	3
	149	2
	822	43
	240	1
	929	28
	78	1
	155	5
	138	2
	347	17
	124	1
	679	14
	595	23
	947	9
	58	1
	118	3
	583	5
	947	21
	261	18
	66	3
	115	3
	137	4
	21	1
	37	1
	27	1
	511	3
	107	1
	6	1
	605	5
	183	17
	334	43
	454	35
	402	24
	404	11
	42	1
	930	8
	112	1

 * Everything loaded in: 0.236 s
Finding unique Rs...

 Shape1	 Shape2
	74	8
	41	6
	99	12
	12	4
	302	30
	956	122
	413	49
	519	47
	93	8
	44	4
	12	2
	12	1
	882	71
	199	14
	229	3
	220	1
	198	18
	596	37
	164	4
	97	12
	58	3
	473	29
	13	1
	44	1
	107	11
	13	1
	107	4
	43	6
	204	13
	140	10
	138	4
	253	23
	62	7
	25	3
	31	1
	762	50
	201	18
	102	9
	372	19
	216	6
	125	5
	268	28
	447	30
	93	11
	159	1
	20	1
	91	1
	26	1
	71	1
	11	1
	730	49
	86	8
	127	2
	47	1
	79	3
	26	1
	86	5
	147	2
	135	13
	347	6
	37	1
	150	1
	49	1
	131	1
	82	6
	248	6
	23	1
	80	4
	172	3
	110	4
	94	4
	984	57
	24	1
	36	2
	172	19
	144	1
	420	20
	788	41
	57	1
	147	3
	129	4
	263	6
	63	3
	60	2
	231	1
	190	2
	404	3
	434	1
	379	5
	41	3
	8	1
	31	1
	666	20
	68	2
	264	9
	272	8
	37	3
	77	2
	42	1
	181	4
	107	2
	292	7
	80	1
	265	20
	133	2
	879	13
	651	7
	55	1
	299	10
	272	11
	107	5
	62	1
	150	5
	926	19
	197	7
	69	1
	631	12
	114	1
	109	3
	176	9
	390	3
	171	1
	90	2
	980	1
	105	4
	144	2
	173	1
	180	1
	19	1
	960	1
	180	2
	897	17
	173	2
	807	8
	232	2
	840	1
	419	4
	215	2
	977	8
	48	1
	92	1
	406	20
	289	9
	547	7
	461	1
	901	3
	324	2
	552	9
	53	1
	425	16
	279	16
	119	3
	783	28
	35	1
	94	1
	209	11
	803	7
	116	1
	19	2
	635	1
	25	1
	517	1
	43	1
	93	1
	331	15
	100	2
	77	2
	615	4
	334	9
	89	3
	305	16
	895	1
	125	1
	21	1
	186	7
	151	1
	827	2
	82	4
	980	7
	105	4
	125	4
	459	31
	23	1
	518	3
	133	3
	116	3
	255	5
	250	3
	822	43
	149	2
	240	1
	929	28
	78	1
	155	5
	138	2
	347	17
	679	14
	124	1
	595	23
	58	1
	947	9
	118	3
	261	18
	583	5
	947	21
	66	3
	115	3
	137	4
	21	1
	37	1
	511	3
	27	1
	6	1
	107	1
	605	5
	183	17
	454	35
	334	43
	402	24
	42	1
	930	8
	404	11
	112	1
	152	2
	6	1
	69	1
	357	11
	112	2
	323	7
	481	26
	52	6
	906	51
	928	72
	22	1
	48	7
	966	112
	34	1
	271	17
	362	29
	383	14
	523	21
	74	2
	60	1
	476	9
	240	1
	346	8
	721	25
	138	1
	80	3
	941	31
	73	1
	176	2
	61	1
	64	1
	270	3
	471	6
	432	2
	242	12
	111	3
	871	52
	906	53
	238	1
	468	7
	667	24
	21	1
	55	5
	40	1
	936	24
	55	2
	21	1
	975	87
	459	50
	343	35
	466	32
	651	60
	574	22
	88	5
	179	5
	384	16
	188	1
	877	86
	955	50
	123	2
	160	3
	114	1
	107	2
	217	12
	124	3
	71	2
	447	6
	224	3
	151	1
	804	15
	261	3
	137	2
	718	44
	781	21
	177	4
	253	4
	6	1
	76	7
	63	3
	13	1
	720	6
	23	2
	23	1
	273	1
	332	1
	21	1
	735	5
	158	2
	175	4
	388	8
	332	2
	288	3
	83	1
	165	1
	564	9
	721	18
	58	1
	157	3
	197	9
	181	6
	318	15
	436	22
	61	4
	356	8
	220	7
	59	1
	678	49
	47	3
	812	55
	167	6
	53	1
	246	52
	230	40
	386	71
	419	34
	3	1
	98	1
	32	2
	2	1
	69	4
	108	2
	379	13
	33	2
	123	7
	17	2
	260	60
	371	64
	229	23
	41	1
	107	3
	927	11
	61	1
	548	118
	571	76
	788	150
	56	1
	72	2
	19	1
	239	16
	22	1
	44	1
	133	4
	349	54
	1894	30
	318	30
	504	90
	25	1
	191	16
	78	3
	1106	11
	287	23
	434	28
	311	18
	9	1
	137	3
	138	1
	67	1
	58	2
	152	3
	140	1
	1668	11
	264	1
	182	2
	335	4
	224	40
	198	20
	285	43
	85	6
	124	1
	780	9
	249	44
	285	34
	166	10
	162	8
	352	1
	947	57
	215	25
	513	6
	645	33
	346	46
	264	23
	186	3
	258	34
	882	14
	330	41
	846	45
	211	9
	531	1
	62	1
	176	5
	119	1
	322	5
	839	9
	208	2
	313	5
	955	40
	438	1
	963	2
	190	1
	363	3
	793	1
	294	1
	419	11
	525	3
	654	1
	657	2
	129	2
	113	1
	125	1
	303	12
	94	3
	173	1
	517	6
	66	1
	981	7
	107	3
	834	7
	305	2
	465	1
	736	4
	360	4
	162	2
	162	5
	363	19
	928	4
	421	34
	401	8
	799	58
	533	3
	205	4
	208	7
	301	18
	310	17
	81	1
	371	7
	134	1
	841	26
	48	2
	41	2
	69	1
	66	1
	867	5
	879	2
	651	3
	160	3
	411	27
	485	33
	87	2
	723	21
	88	3
	208	16
	248	22
	107	2
	54	2
	121	1
	281	16
	870	36
	33	1
	29	1
	45	1
	79	1
	731	9
	195	1
	114	3
	122	7
	464	16
	519	28
	267	18
	100	1
	247	15
	31	1
	279	3
	825	24
	49	2
	558	8
	742	21
	972	19
	708	6
	237	5
	70	2
	142	3
	339	15
	178	3
	17	1
	44	2
	103	1
	49	1
	50	1
	715	4
	64	1
	160	2
	11	1
	320	4
	618	4
	163	3
	796	3
	652	8
	631	7
	397	4
	227	4
	541	12
	4	1
	16	1
	44	1
	36	1
	65	2
	201	5
	176	4
	979	46
	34	1
	11	1
	547	7
	10	1
	134	2
	33	1
	21	1
	157	2
	154	1
	943	25
	377	2
	33	1
	85	1
	460	1
	96	1
	704	3
	882	15
	155	6
	189	1
	700	3
	274	10
	963	1
	84	1
	163	4
	204	6
	484	1
	142	1
	186	1
	420	14
	304	2
	35	1
	551	1


Total runtime: 1.570 s
