E1,E2,Similarity
H,H,0.0
He,H,0.00026685098387646083
Li,H,0.010581137287485096
Be,H,0.0007337891140154371
B,H,0.02089827546693059
C,H,0.175166515587951
N,H,0.2051853963251283
O,H,0.12330111437177671
F,H,0.14104444482844103
Ne,H,0.0003509767891956142
Na,H,0.018499062481561704
Mg,H,0.0019205682383750431
Al,H,0.004819501810585246
Si,H,0.01252306008680217
P,H,0.03795123568325562
S,H,0.03676236769443453
Cl,H,0.09562752609719295
Ar,H,0.0007813216270154216
K,H,0.010906838771371252
Ca,H,0.0011519716990663722
Sc,H,0.0011572382837752178
Ti,H,0.002582979970415497
V,H,0.004216810461356727
Cr,H,0.004155733697253003
Mn,H,0.005227916301465131
Fe,H,0.007562079436294037
Co,H,0.007181764556827044
Ni,H,0.0035186652136164104
Cu,H,0.006820166402284553
Zn,H,0.003482948014245798
Ga,H,0.002474070923241357
Ge,H,0.002387653027587416
As,H,0.005957465725275268
Se,H,0.006751644986577484
Br,H,0.05381851447210738
Kr,H,0.0004303652545745228
Rb,H,0.0016865600599292093
Sr,H,0.0006653244403249821
Y,H,0.0015713368902019547
Zr,H,0.0019911895495343147
Nb,H,0.0027753806548793
Mo,H,0.0038332268897513207
Tc,H,0.0017079125898869826
Ru,H,0.0041623122406306955
Rh,H,0.007176248597960919
Pd,H,0.003577621890139813
Ag,H,0.006792091301566683
Cd,H,0.0017294038212920639
In,H,0.002036058199227235
Sn,H,0.0036740299668927305
Sb,H,0.004082098691010864
Te,H,0.0026771088220725694
I,H,0.030968819620407255
Xe,H,0.0005267828667629072
Cs,H,0.0027242419876086586
Ba,H,0.0009474822199960473
La,H,0.0016452952301241363
Ce,H,0.0011834206185652178
Pr,H,0.0012564482875682631
Nd,H,0.0014569677288057002
Pm,H,0.00016643342103151213
Sm,H,0.0015393503335435646
Eu,H,0.0015691405512172907
Gd,H,0.0015029845164542378
Tb,H,0.001100986912557895
Dy,H,0.0009638359807328357
Ho,H,0.000756462828839899
Er,H,0.0009811218211380097
Tm,H,0.0005805418586037514
Yb,H,0.0014236647752673246
Lu,H,0.001025093547629896
Hf,H,0.0008357876006903387
Ta,H,0.0029673140319536025
W,H,0.002819946957993188
Re,H,0.006469549089316448
Os,H,0.0015798580067341384
Ir,H,0.005645629800256362
Pt,H,0.002940799576481044
Au,H,0.0054306142409989095
Hg,H,0.0032711114687857803
Tl,H,0.002772273364580997
Pb,H,0.0015692982183451581
Bi,H,0.0024964323994534966
Po,H,9.93120511335526e-05
At,H,0.00022601286700489598
Rn,H,4.6239792722054505e-05
Fr,H,6.378720453144833e-05
Ra,H,0.00010354770796577902
Ac,H,5.370998941008457e-05
Th,H,0.0005246683339789302
Pa,H,0.00014001851728101037
U,H,0.001415334956955062
Np,H,0.00034498233431835157
Pu,H,0.00026917643109707144
Am,H,0.0002344543380283815
Cm,H,0.00020720368114401612
Bk,H,0.00013440893347816798
Cf,H,0.00012078625014577529
Es,H,5.640677136322256e-05
Fm,H,2.1028312893487642e-05
Md,H,4.879420288691213e-05
No,H,2.1840513934108304e-05
Lr,H,2.4251918593117084e-05
H,He,0.00026685098387646083
He,He,0.0
Li,He,0.0013820894790287062
Be,He,0.0022573450849970524
B,He,0.0007352495164728773
C,He,0.0002847942242851544
N,He,0.00027693660539365803
O,He,0.00030661051501673506
