#####

1771	3					3	6
1785	2					2	4
1787	1					1	2
1789	3					1	4
1791			1			1	2
1795	3					1	4
1797	1					1	2
1800	32		3		1	17	53
1801	20		3		1	12	36
1802	18		2			15	35
1803	17		1			12	30
1804	23		5		1	17	46
1805	17		2			14	33
1806	27		2			20	49
1807	14		2			15	31
1808	11		1			10	22
1809	18		1			27	46
1810	11					8	19
1811	17					25	42
1812	33		1			37	71
1813	28		1			34	63
1814	27		2			30	59
1815	9		1			23	33
1816	20					17	37
1817	16		1			23	40
1818	68				1	54	123
1819	20		3			23	46
1820	23		2			20	45
1821	18		1			24	43
1822	26		2			34	62
1823	12		1			18	31
1824	65		4			61	130
1825	35		2			43	80
1826	98		4			102	204
1827	66		4	1		82	153
1828	64		2			80	146
1829	49		1		1	55	106
1830	47		1			91	139
1831	49		9		2	63	123
1832	46		2			74	122
1833	41		1			47	89
1834	73		11			88	172
1835	50		6			84	140
1836	59		5			108	172
1837	60		5			71	136
1838	58		4			70	132
1839	78		1			92	171
1840	47		4			75	126
1841	96		5			94	195
1842	137		7			165	309
1843	112		6			137	255
1844	81		4			131	216
1845	87		1			118	206
1846	81		3			110	194
1847	89		8			126	223
1848	115		1			171	287
1849	76		1			136	213
1850	94		9		1	131	235
1851	82		2			142	226
1852	87		8			143	238
1853	72		6			139	217
1854	107		7			186	300
1855	96		4	1		170	271
1856	75		5			166	246
1857	142		2			212	356
1858	105		4			178	287
1859	101		8			195	304
1860	151		1			210	362
1861	176		5			327	508
1862	152		15			239	406
1863	137		9			249	395
1864	165		1			261	427
1865	157		10	1		256	424
1866	211		5			363	579
1867	213		5			358	576
1868	220		10		1	378	609
1869	249		6			413	668
1870	245		4	1		415	665
1871	180		5			337	522
1872	255		9	3		421	688
1873	298		7			508	813
1874	382		10			491	883
1875	328		8			548	884
1876	322		12			548	882
1877	468		10			643	1121
1878	489		11			788	1288
1879	458		10			665	1133
1880	518		11	1		732	1262
1881	602		4			905	1511
1882	708		12			934	1654
1883	857		12			1220	2089
1884	847		10			1288	2145
1885	941		16			1340	2297
1886	1011		14			1589	2614
1887	1041		15			1680	2736
1888	1234		10			1929	3173
1889	1181		13		1	2134	3329
1890	1253		14			2083	3350
1891	1376		9			2430	3815
1892	1205		13			2127	3345
1893	1245		12			2234	3491
1894	1468		11			2414	3893
1895	1529		14			2523	4066
1896	1466		16		1	2524	4007
1897	1501		24			2703	4228
1898	1531		18			2935	4484
1899	1718		25			3157	4900
1900	1739		23			3071	4833
1901	1885		33	1		3631	5550
1902	2186		33			3803	6022
1903	1855		36			3266	5157
1904	2401		34			4149	6584
1905	2116		38			4030	6184
1906	2247		35			4015	6297
1907	2249		35			3817	6101
1908	2106		34			3756	5896
1909	2459		29			4057	6545
1910	2178		28			3432	5638
1911	2415		48			3659	6122
1912	2628		36			4188	6852
1913	2453		39			3819	6311
1914	2113		31	2		3325	5471
1915	1525		13	2		2695	4235
1916	1298		8	1		2168	3475
1917	1015		9			1760	2784
1918	979		8			1597	2584
1919	1143		16			1903	3062
1920	1376		46	1		2180	3603
1921	2072		39			3516	5627
1922	2615		38			3949	6602
1923	2885		35	1	1	4770	7692
1924	3031		52	6		4952	8041
1925	3256		57	1		5477	8791
1926	3608		43			5899	9550
1927	3988		64			5995	10047
1928	3896		60	11		6155	10122
1929	4225		65	1		6861	11152
1930	4291		80			8054	12425
1931	4677		85			8438	13200
1932	4229		82	1		8325	12637
1933	4668		68	1		8673	13410
1934	4873		82	26		9307	14288
1935	4753		82			9220	14055
1936	4996		72	3		10209	15280
1937	5292		94	1		10198	15585
1938	4902		81			9943	14926
1939	5118		72		1	10538	15729
1940	4297		49	1		8843	13190
1941	4407		61			8452	12920
1942	4178		45	1		7942	12166
1943	3592		44	2		7158	10796
1944	3469		52			6984	10505
1945	3456		44			7437	10937
1946	4665		52	1		10461	15179
1947	5527		69	1		11641	17238
1948	6881		98			14204	21183
1949	8035		115	4		17695	25849
1950	8058		91			18571	26720
1951	8640		103	2		21098	29843
1952	9637		106			23920	33663
1953	10161		127			24022	34310
1954	10924		130	1		26446	37501
1955	11200		123			26975	38298
1956	12883		141	1		30860	43885
1957	14213		143	1		34677	49034
1958	15325		179	1		35906	51411
1959	16706		179	2		41857	58744
1960	18207		32	9		49183	67431
1961	18364		22	5		55109	73500
1962	18648		32	6		61858	80544
1963	20743		22	9		71536	92310
1964	20095		31	10		78183	98319
1965	21367		45	8		83938	105358
1966	20143		38	8		88941	109130
1967	25776		35	4		66090	91905
1968	34728		52	11		85904	120695
1969	25672		43	3		97757	123475
1970	24949		59	5		112511	137524
1971	25696		52	5		96095	121848
1972	26776		67	6	1	113093	139943
1973	26437		44	4		94778	121263
1974	23570		67	8		93185	116830
1975	24900		52	2		96044	120998
1976	26712		65	9		103627	130413
1977	25901		64	6		109812	135783
1978	24444		63	9		106608	131124
1979	24879		77	11		108739	133706
1980	73647		1628	449		99800	175524
1981	79275		1428	398		105763	186864
1982	78764		1352	403		101052	181571
1983	79790		1312	394		107073	188569
1984	80965		1333	421		109387	192106
1985	84496		1291	494		111570	197851
1986	81932		1228	501		108036	191697
1987	87337		1233	532		114063	203165
1988	90854		1256	473		121107	213690
1989	89721		1217	637		115876	207451
1990	95937		1217	465	1	125262	222882
1991	92572		1249	451		121891	216163
1992	103914		1196	340		127011	232461
1993	99858		1297	357		126798	228310
1994	104362		1624	394		126584	232964
1995	105789		1772	410	1	133459	241431
1996	120567		1901	375	1	144891	267735
1997	120558		2305	522		148352	271737
1998	124626		2327	539		153336	280828
1999	128428		2383	685		152787	284283
2000	130825		2399	850		157504	291578
2001	130240		2535	924		159918	293617
2002	136507		2736	1067		172230	312540
2003	145513		3151	998	1	181095	330758
2004	149324		3033	956		191619	344932
2005	154149	1	3073	1075		203619	361917
2006	159434		2496	1190		209357	372477
2007	162551		447	371	3	215723	379095
2008	176514		2644	138	135	222390	401821
2009	192196		4548	147	225	242652	439768
2010	208428		6552	113	213	280453	495759
2011	219924	1	5644	151	184	297920	523824
2012	223493		5333	128	105	310416	539475
2013	233017	1	6612			338754	578384
2014	232802	1	6661			355156	594620
2015	224805		6280		1	358746	589832
2016	224954		5861			369605	600420
2017	228783		5642			390644	625069
2018	230812		5830		1	397802	634445
2019	237506		5856			420812	664174
2020	234659	1	5362			410907	650929
2021	249029		5254			436395	690678
2022	17361		393			35474	53228
4000	7835069						7835069
